date,city_code,company,atliqo_revenue_crores,arpu,active_users_lakhs,unsubscribed_users_lakhs,,,,,,,,,,,,,,
1-Jan-22,400001,Atliqo,60.69,192,31.61,1.9,,,,,,,,,,,,,,
1-Jan-22,110001,Atliqo,42.71,175,24.41,1.31,,,,Revenue Before 5G BY City,,,,ActIve User Before 5G,,,,Unsubscribed User Before 5G,,
1-Jan-22,700001,Atliqo,36.91,175,21.09,1.25,,Average arpu is ,200.7416667,Mumbai,400001,244.4,,Mumbai,400001,125.34,,Mumbai,400001,9.58
1-Jan-22,560001,Atliqo,37.4,175,21.37,1.39,,Before 5G Revenue,1597.7,Delhi,110001,196.38,,Delhi,110001,108.17,,Delhi,110001,7.7
1-Jan-22,600001,Atliqo,30.8,203,15.17,1.12,,After 5G Revenue,1589.7,Kolkata,700001,192.55,,Kolkata,700001,104.31,,Kolkata,700001,6.93
1-Jan-22,500001,Atliqo,28.25,183,15.44,0.78,,Active User Before 5g,843.53,Bangalore,560001,168.67,,Bangalore,560001,96.54,,Bangalore,560001,5.71
1-Jan-22,411001,Atliqo,24.22,200,12.11,1.08,,Active User After 5g,773.7,Chennai,600001,150.13,,Chennai,600001,73.91,,Chennai,600001,5.17
1-Jan-22,380001,Atliqo,20.97,165,12.71,0.62,,Unsubscribed User Before 5G,56.33,Hyderabad,500001,118.63,,Hyderabad,500001,60.6,,Hyderabad,500001,3.86
1-Jan-22,302001,Atliqo,22.21,189,11.75,0.52,,Unsubscribed User After 5G,69.57,Pune,411001,129.64,,Pune,411001,64.51,,Pune,411001,4.34
1-Jan-22,226001,Atliqo,11.86,198,5.99,0.45,,,,Ahmedabad,380001,94.49,,Ahmedabad,380001,53.51,,Ahmedabad,380001,3.32
1-Jan-22,800008,Atliqo,14.59,188,7.76,0.39,,,,Jaipur,302001,70.09,,Jaipur,302001,36.14,,Jaipur,302001,2.23
1-Jan-22,641001,Atliqo,7.82,212,3.69,0.28,,,,Lucknow,226001,64.83,,Lucknow,226001,31.71,,Lucknow,226001,1.72
1-Jan-22,160017,Atliqo,6.35,185,3.43,0.17,,,,Patna,800008,48.74,,Patna,800008,25.45,,Patna,800008,1.71
1-Jan-22,122001,Atliqo,5.32,181,2.94,0.25,,,,Coimbatore,641001,45.67,,Coimbatore,641001,23.17,,Coimbatore,641001,1.55
1-Jan-22,492001,Atliqo,4.27,191,2.24,0.16,,,,Chandigarh,160017,30.68,,Chandigarh,160017,16.85,,Chandigarh,160017,1.03
1-Feb-22,400001,Atliqo,61.19,169,36.21,2.71,,,,Gurgaon,122001,27.12,,Gurgaon,122001,14.74,,Gurgaon,122001,0.91
1-Feb-22,110001,Atliqo,54.18,189,28.67,1.85,,,,Raipur,492001,15.68,,Raipur,492001,8.58,,Raipur,492001,0.57
1-Feb-22,700001,Atliqo,39.48,175,22.56,1.75,,,,,,,,,,,,,,
1-Feb-22,560001,Atliqo,47.06,189,24.9,1.22,,,,Revenue After 5G BY City,,,,ActIve User Before 5G,,,,Unsubscribed User Before 5G,,
1-Feb-22,600001,Atliqo,55.9,206,27.14,1.68,,,,Mumbai,400001,245.15,,Mumbai,400001,107.35,,Mumbai,400001,8.37
1-Feb-22,500001,Atliqo,34.47,193,17.86,1.13,,,,Delhi,110001,190.82,,Delhi,110001,89.1,,Delhi,110001,8.98
1-Feb-22,411001,Atliqo,28.66,190,15.08,0.72,,,,Kolkata,700001,191.84,,Kolkata,700001,99.36,,Kolkata,700001,8.86
1-Feb-22,380001,Atliqo,20.63,171,12.06,0.74,,,,Bangalore,560001,169.94,,Bangalore,560001,83.08,,Bangalore,560001,6.89
1-Feb-22,302001,Atliqo,15.67,199,7.87,0.55,,,,Chennai,600001,146.24,,Chennai,600001,74.17,,Chennai,600001,7.08
1-Feb-22,226001,Atliqo,24.77,210,11.8,0.55,,,,Hyderabad,500001,117.1,,Hyderabad,500001,56.07,,Hyderabad,500001,5.33
1-Feb-22,800008,Atliqo,11.72,208,5.63,0.32,,,,Pune,411001,130.12,,Pune,411001,76.16,,Pune,411001,6.74
1-Feb-22,641001,Atliqo,11.94,170,7.02,0.41,,,,Ahmedabad,380001,92.58,,Ahmedabad,380001,43.38,,Ahmedabad,380001,3.86
1-Feb-22,160017,Atliqo,6.34,162,3.91,0.17,,,,Jaipur,302001,70.78,,Jaipur,302001,34.14,,Jaipur,302001,3.4
1-Feb-22,122001,Atliqo,9.45,187,5.05,0.27,,,,Lucknow,226001,66.01,,Lucknow,226001,32.55,,Lucknow,226001,3.06
1-Feb-22,492001,Atliqo,4.23,168,2.52,0.16,,,,Patna,800008,49.46,,Patna,800008,21.35,,Patna,800008,1.89
1-Mar-22,400001,Atliqo,57.28,213,26.89,2.33,,,,Coimbatore,641001,45.72,,Coimbatore,641001,21.02,,Coimbatore,641001,1.96
1-Mar-22,110001,Atliqo,48.98,171,28.64,2.52,,,,Chandigarh,160017,30.51,,Chandigarh,160017,16.01,,Chandigarh,160017,1.5
1-Mar-22,700001,Atliqo,67.31,187,35.99,2.2,,,,Gurgaon,122001,27.53,,Gurgaon,122001,12.81,,Gurgaon,122001,1.02
1-Mar-22,560001,Atliqo,41.87,166,25.22,1.59,,,,Raipur,492001,15.86,,Raipur,492001,7.15,,Raipur,492001,0.63
1-Mar-22,600001,Atliqo,30.5,211,14.45,0.91,,,,,,,,,,,,,,
1-Mar-22,500001,Atliqo,27.95,211,13.25,0.78,,,,,,,,,,,,,,
1-Mar-22,411001,Atliqo,30.83,201,15.34,1.1,,,,,,,,,,,,,,
1-Mar-22,380001,Atliqo,28.95,206,14.05,0.75,,,,,,,,,,,,,,
1-Mar-22,302001,Atliqo,17.1,186,9.19,0.81,,,,,,,,,,,,,,
1-Mar-22,226001,Atliqo,14.93,212,7.04,0.3,,,,,,,,,,,,,,
1-Mar-22,800008,Atliqo,10.62,197,5.39,0.47,,,,,,,,,,,,,,
1-Mar-22,641001,Atliqo,17.12,206,8.31,0.61,,,,,,,,,,,,,,
1-Mar-22,160017,Atliqo,7.51,202,3.72,0.25,,,,,,,,,,,,,,
1-Mar-22,122001,Atliqo,6.04,181,3.34,0.19,,,,,,,,,,,,,,
1-Mar-22,492001,Atliqo,3.46,197,1.76,0.15,,,,,,,,,,,,,,
1-Apr-22,400001,Atliqo,65.24,213,30.63,2.64,,,,,,,,,,,,,,
1-Apr-22,110001,Atliqo,50.51,191,26.45,2.02,,,,,,,,,,,,,,
1-Apr-22,700001,Atliqo,48.85,198,24.67,1.73,,,,,,,,,,,,,,
1-Apr-22,560001,Atliqo,42.34,169,25.05,1.51,,,,,,,,,,,,,,
1-Apr-22,600001,Atliqo,32.93,192,17.15,1.46,,,,,,,,,,,,,,
1-Apr-22,500001,Atliqo,27.96,199,14.05,1.17,,,,,,,,,,,,,,
1-Apr-22,411001,Atliqo,45.93,209,21.98,1.44,,,,,,,,,,,,,,
1-Apr-22,380001,Atliqo,23.94,163,14.69,1.21,,,,,,,,,,,,,,
1-Apr-22,302001,Atliqo,15.11,206,7.33,0.35,,,,,,,,,,,,,,
1-Apr-22,226001,Atliqo,13.27,193,6.88,0.42,,,,,,,,,,,,,,
1-Apr-22,800008,Atliqo,11.81,177,6.67,0.53,,,,,,,,,,,,,,
1-Apr-22,641001,Atliqo,8.79,212,4.15,0.25,,,,,,,,,,,,,,
1-Apr-22,160017,Atliqo,10.48,181,5.79,0.44,,,,,,,,,,,,,,
1-Apr-22,122001,Atliqo,6.31,185,3.41,0.2,,,,,,,,,,,,,,
1-Apr-22,492001,Atliqo,3.72,181,2.06,0.1,,,,,,,,,,,,,,
1-Jun-22,400001,Atliqo,62.09,193,32.17,2.41,,,,,,,,,,,,,,
1-Jun-22,110001,Atliqo,42.12,198,21.27,2.28,,,,,,,,,,,,,,
1-Jun-22,700001,Atliqo,36.77,199,18.48,1.79,,,,,,,,,,,,,,
1-Jun-22,560001,Atliqo,38.02,242,15.71,1.14,,,,,,,,,,,,,,
1-Jun-22,600001,Atliqo,30.55,198,15.43,1.63,,,,,,,,,,,,,,
1-Jun-22,500001,Atliqo,28.09,224,12.54,1.02,,,,,,,,,,,,,,
1-Jun-22,411001,Atliqo,24.69,199,12.41,1.28,,,,,,,,,,,,,,
1-Jun-22,380001,Atliqo,20.84,205,10.17,1.1,,,,,,,,,,,,,,
1-Jun-22,302001,Atliqo,22.85,251,9.1,0.96,,,,,,,,,,,,,,
1-Jun-22,226001,Atliqo,12.29,219,5.61,0.59,,,,,,,,,,,,,,
1-Jun-22,800008,Atliqo,15.07,252,5.98,0.44,,,,,,,,,,,,,,
1-Jun-22,641001,Atliqo,7.9,236,3.35,0.26,,,,,,,,,,,,,,
1-Jun-22,160017,Atliqo,6.41,199,3.22,0.26,,,,,,,,,,,,,,
1-Jun-22,122001,Atliqo,5.5,197,2.79,0.25,,,,,,,,,,,,,,
1-Jun-22,492001,Atliqo,4.37,255,1.71,0.15,,,,,,,,,,,,,,
1-Jul-22,400001,Atliqo,59.9,243,24.65,1.86,,,,,,,,,,,,,,
1-Jul-22,110001,Atliqo,51.3,240,21.38,2.11,,,,,,,,,,,,,,
1-Jul-22,700001,Atliqo,38.12,169,22.56,1.77,,,,,,,,,,,,,,
1-Jul-22,560001,Atliqo,46.11,186,24.79,2.02,,,,,,,,,,,,,,
1-Jul-22,600001,Atliqo,53.87,196,27.48,2.54,,,,,,,,,,,,,,
1-Jul-22,500001,Atliqo,33.32,164,20.32,2.17,,,,,,,,,,,,,,
1-Jul-22,411001,Atliqo,27.98,173,16.17,1.38,,,,,,,,,,,,,,
1-Jul-22,380001,Atliqo,19.44,175,11.11,0.89,,,,,,,,,,,,,,
1-Jul-22,302001,Atliqo,15.29,182,8.4,0.7,,,,,,,,,,,,,,
1-Jul-22,226001,Atliqo,24.77,162,15.29,1.45,,,,,,,,,,,,,,
1-Jul-22,800008,Atliqo,11.48,212,5.42,0.55,,,,,,,,,,,,,,
1-Jul-22,641001,Atliqo,11.53,218,5.29,0.45,,,,,,,,,,,,,,
1-Jul-22,160017,Atliqo,6.11,250,2.44,0.22,,,,,,,,,,,,,,
1-Jul-22,122001,Atliqo,9.37,231,4.06,0.3,,,,,,,,,,,,,,
1-Jul-22,492001,Atliqo,4.17,236,1.77,0.16,,,,,,,,,,,,,,
1-Aug-22,400001,Atliqo,58.35,248,23.53,1.85,,,,,,,,,,,,,,
1-Aug-22,110001,Atliqo,48.93,202,24.22,2.37,,,,,,,,,,,,,,
1-Aug-22,700001,Atliqo,69,195,35.38,3.57,,,,,,,,,,,,,,
1-Aug-22,560001,Atliqo,43.59,183,23.82,1.81,,,,,,,,,,,,,,
1-Aug-22,600001,Atliqo,30.27,209,14.48,1.18,,,,,,,,,,,,,,
1-Aug-22,500001,Atliqo,28.35,231,12.27,1.27,,,,,,,,,,,,,,
1-Aug-22,411001,Atliqo,31.66,161,19.66,1.76,,,,,,,,,,,,,,
1-Aug-22,380001,Atliqo,29.23,224,13.05,1.22,,,,,,,,,,,,,,
1-Aug-22,302001,Atliqo,17.71,175,10.12,1.03,,,,,,,,,,,,,,
1-Aug-22,226001,Atliqo,15.67,248,6.32,0.58,,,,,,,,,,,,,,
1-Aug-22,800008,Atliqo,11.05,212,5.21,0.52,,,,,,,,,,,,,,
1-Aug-22,641001,Atliqo,17.7,235,7.53,0.72,,,,,,,,,,,,,,
1-Aug-22,160017,Atliqo,7.67,191,4.02,0.39,,,,,,,,,,,,,,
1-Aug-22,122001,Atliqo,6.31,192,3.29,0.26,,,,,,,,,,,,,,
1-Aug-22,492001,Atliqo,3.59,237,1.51,0.14,,,,,,,,,,,,,,
1-Sep-22,400001,Atliqo,64.81,240,27,2.25,,,,,,,,,,,,,,
1-Sep-22,110001,Atliqo,48.47,218,22.23,2.22,,,,,,,,,,,,,,
1-Sep-22,700001,Atliqo,47.95,209,22.94,1.73,,,,,,,,,,,,,,
1-Sep-22,560001,Atliqo,42.22,225,18.76,1.92,,,,,,,,,,,,,,
1-Sep-22,600001,Atliqo,31.55,188,16.78,1.73,,,,,,,,,,,,,,
1-Sep-22,500001,Atliqo,27.34,250,10.94,0.87,,,,,,,,,,,,,,
1-Sep-22,411001,Atliqo,45.79,164,27.92,2.32,,,,,,,,,,,,,,
1-Sep-22,380001,Atliqo,23.07,255,9.05,0.65,,,,,,,,,,,,,,
1-Sep-22,302001,Atliqo,14.93,229,6.52,0.71,,,,,,,,,,,,,,
1-Sep-22,226001,Atliqo,13.28,249,5.33,0.44,,,,,,,,,,,,,,
1-Sep-22,800008,Atliqo,11.86,250,4.74,0.38,,,,,,,,,,,,,,
1-Sep-22,641001,Atliqo,8.59,177,4.85,0.53,,,,,,,,,,,,,,
1-Sep-22,160017,Atliqo,10.32,163,6.33,0.63,,,,,,,,,,,,,,
1-Sep-22,122001,Atliqo,6.35,238,2.67,0.21,,,,,,,,,,,,,,
1-Sep-22,492001,Atliqo,3.73,173,2.16,0.18,,,,,,,,,,,,,,
